"","B14006_001","B14006_002","B14006_003","B14006_004","B14006_005","B14006_006","B14006_007","B14006_008","B14006_009","B14006_010","B14006_011","B14006_012","B14006_013","B14006_014","B14006_015","B14006_016","B14006_017","B14006_018","B14006_019","B14006_020","B14006_021","B16009_001","B16009_002","B16009_003","B16009_004","B16009_005","B16009_006","B16009_007","B16009_008","B16009_009","B16009_010","B16009_011","B16009_012","B16009_013","B16009_014","B16009_015","B16009_016","B16009_017","B16009_018","B16009_019","B16009_020","B16009_021","B16009_022","B16009_023","B16009_024","B16009_025","B16009_026","B16009_027","B19013_001","B19013A_001","B19013B_001","B19013C_001","B19013D_001","B19013E_001","B19013F_001","B19013G_001","B19013H_001","B19013I_001","B19019_001","B19019_002","B19019_003","B19019_004","B19019_005","B19019_006","B19019_007","B19019_008","B19049_001","B19049_002","B19049_003","B19049_004","B19049_005","B25099_001","B25099_002","B25099_003","B25119_001","B25119_002","B25119_003","B10010_001","B10010_002","B10010_003","B19113_001","B19113A_001","B19113B_001","B19113C_001","B19113D_001","B19113E_001","B19113F_001","B19113G_001","B19113H_001","B19113I_001","B19119_001","B19119_002","B19119_003","B19119_004","B19119_005","B19119_006","B19119_007","B19121_001","B19121_002","B19121_003","B19121_004","B19121_005","B19125_001","B19125_002","B19125_003","B19126_001","B19126_002","B19126_003","B19126_004","B19126_005","B19126_006","B19126_007","B19126_008","B19126_009","B19126_010","B19126_011","B19301_001","B19301A_001","B19301B_001","B19301C_001","B19301D_001","B19301E_001","B19301F_001","B19301G_001","B19301H_001","B19301I_001","B22003_001","B22003_002","B22003_003","B22003_004","B22003_005","B22003_006","B22003_007","B08137_001","B08137_002","B08137_003","B08137_004","B08137_005","B08137_006","B08137_007","B08137_008","B08137_009","B08137_010","B08137_011","B08137_012","B08137_013","B08137_014","B08137_015","B08137_016","B08137_017","B08137_018","B08137_019","B08137_020","B08137_021","B08537_001","B08537_002","B08537_003","B08537_004","B08537_005","B08537_006","B08537_007","B08537_008","B08537_009","B08537_010","B08537_011","B08537_012","B08537_013","B08537_014","B08537_015","B08537_016","B08537_017","B08537_018","B08537_019","B08537_020","B08537_021","B09001_001","B09001_002","B09001_003","B09001_004","B09001_005","B09001_006","B09001_007","B09001_008","B09001_009","B09001_010","B09008_001","B09008_002","B09008_003","B09008_004","B09008_005","B09008_006","B09008_007","B09008_008","B09008_009","B09008_010","B09008_011","B09008_012","B11001_001","B11001_002","B11001_003","B11001_004","B11001_005","B11001_006","B11001_007","B11001_008","B11001_009","B11017_001","B11017_002","B11017_003","B12007_001","B12007_002","B12007A_001","B12007A_002","B12007C_001","B12007C_002","B12007D_001","B12007D_002","B12007E_001","B12007E_002","B12007F_001","B12007F_002","B12007G_001","B12007G_002","B12007H_001","B12007H_002","B12007I_001","B12007I_002","B16010_001","B16010_002","B16010_003","B16010_004","B16010_005","B16010_006","B16010_007","B16010_008","B16010_009","B16010_010","B16010_011","B16010_012","B16010_013","B16010_014","B16010_015","B16010_016","B16010_017","B16010_018","B16010_019","B16010_020","B16010_021","B16010_022","B16010_023","B16010_024","B16010_025","B16010_026","B16010_027","B16010_028","B16010_029","B16010_030","B16010_031","B16010_032","B16010_033","B16010_034","B16010_035","B16010_036","B16010_037","B16010_038","B16010_039","B16010_040","B16010_041","B16010_042","B16010_043","B16010_044","B16010_045","B16010_046","B16010_047","B16010_048","B16010_049","B16010_050","B16010_051","B16010_052","B16010_053","B25081_001","B25081_002","B25081_003","B25081_004","B25081_005","B25081_006","B25081_007","B25081_008","B25082_001","B25082_002","B25082_003","B25102_001","B25102_002","B25102_003","B25102_004","B25102_005","B25102_006","B25102_007","B25102_008","B25102_009","B25102_010","B25102_011","B25102_012","B25102_013","B25102_014","B25102_015","B25103_001","B25103_002","B25103_003","B992522_001","B992522_002","B992522_003","B992522_004","B992522_005","B992522_006","B992522_007","B27015_001","B27015_002","B27015_003","B27015_004","B27015_005","B27015_006","B27015_007","B27015_008","B27015_009","B27015_010","B27015_011","B27015_012","B27015_013","B27015_014","B27015_015","B27015_016","B27015_017","B27015_018","B27015_019","B27015_020","B27015_021","B27015_022","B27015_023","B27015_024","B27015_025","B27015_026","C02003_001","C02003_002","C02003_003","C02003_004","C02003_005","C02003_006","C02003_007","C02003_008","C02003_009","C02003_010","C02003_011","C02003_012","C02003_013","C02003_014","C02003_015","C02003_016","C02003_017","C02003_018","C02003_019"
"Loudoun County Public Schools, Virginia",309236,11154,3568,266,221,625,688,915,687,166,7586,298082,95370,8807,5887,22322,20932,18962,13050,5410,202712,297465,10620,2381,1388,789,56,122,26,8239,4365,2460,577,597,240,286845,68017,52324,6670,4930,3393,700,218828,151449,23483,22176,18639,3081,122238,125612,95377,81250,132421,80750,83319,127828,129249,80254,122238,66923,119629,131819,151229,137936,144078,137836,122238,63843,124078,135226,75607,137347,141344,93617,122238,137347,70762,116016,110298,54247,133550,138551,118004,93558,137167,80750,71385,127705,143398,70583,133550,116029,131739,149538,138140,145592,141557,133550,66875,105217,151645,155348,133550,137114,128225,133550,145690,148462,141255,71296,92135,86542,95424,67353,61400,75815,46565,50729,38609,40786,43715,49718,21179,24237,54213,23219,106997,2511,849,1662,104486,2554,101932,171071,135527,35544,133994,107953,26041,15586,10997,4589,4841,3664,1177,2743,1120,1623,1754,1257,497,12153,10536,1617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98726,98583,15781,11847,5596,18099,17002,15962,14296,143,98580,3209,2905,1368,1537,304,95371,95262,83695,3140,8427,109,106997,83146,69998,13148,3855,9293,23851,18297,5554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207248,12853,8635,1838,5315,653,680,149,4218,1742,804,840,739,93,29399,20694,13258,4520,1520,1050,346,8705,6515,866,683,594,47,45033,35357,26377,3807,2626,2012,535,9676,7471,703,851,565,86,119963,100244,72081,5303,11102,10121,1637,19719,13764,928,2487,2305,235,83100,74162,21591,6599,14992,1181,51390,8938,39551409100,35162922100,4388486900,83100,74162,1152,2383,2302,6446,61184,695,8938,428,421,418,939,6069,663,5096,5186,4390,83100,74162,22309,51853,8938,2254,6684,324199,10235,7412,4687,4286,2823,24080,19467,15810,6883,4613,31499,26907,24954,5497,4592,38224,32777,31437,4430,5447,220161,210408,205871,14366,9753,326477,313010,226884,23821,713,49155,185,12252,13467,1862,11605,12242,3179,671,5215,173,3004,1024,201
"Louisa County Public Schools, Virginia",32193,3251,670,34,43,231,134,128,100,0,2581,28942,6051,309,414,1298,1429,1447,1009,145,22891,31341,3119,625,608,17,0,0,0,2494,2416,76,2,0,0,28222,4644,4420,63,161,0,0,23578,22896,364,244,64,10,54518,58872,39349,19702,68167,NA,98347,58750,59110,64018,54518,23630,59243,68151,79457,69705,57875,102188,54518,22438,64053,60962,37711,61455,76140,36792,54518,61455,33922,78846,42063,40135,66882,69248,44297,19702,64211,NA,86976,64554,69360,78598,66882,59038,68530,77840,80583,58813,106111,66882,36840,47795,84188,85121,66882,65779,68333,66882,76554,77392,75926,38866,36632,28750,40333,40511,38430,47353,26956,29043,19892,20589,14315,NA,20482,12208,29392,19022,13046,1192,534,658,11854,741,11113,15562,12512,3050,12160,9948,2212,2170,1553,617,43,15,28,167,128,39,181,94,87,841,774,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7224,7219,1040,880,459,1239,1247,1117,1237,5,7219,642,623,332,291,19,6577,6577,4924,377,1276,0,13046,9398,7331,2067,710,1357,3648,2979,669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23887,4175,1818,1698,118,2,0,0,2357,2354,0,0,0,3,9444,6210,6039,97,66,8,0,3234,3177,4,53,0,0,5789,3987,3814,95,41,37,0,1802,1746,10,46,0,0,4479,3421,3315,89,5,5,7,1058,999,25,30,4,0,10422,6990,1492,358,1134,24,5474,3432,2844725300,2011304600,833420700,10422,6990,950,3077,1362,735,719,147,3432,1063,1437,319,273,194,146,1273,1363,1077,10422,6990,2303,4687,3432,967,2465,33204,4870,3394,1543,2782,1476,8010,6098,4784,2611,1912,6644,5437,4734,1592,1207,5451,4719,4466,734,732,8229,7797,7576,990,432,33384,32816,26313,5949,122,151,0,281,568,29,539,504,273,86,81,24,40,64,0
"Lunenburg County Public Schools, Virginia",10922,2356,683,52,26,180,156,129,140,0,1673,8566,1907,91,59,490,413,439,322,93,6659,10645,2235,464,383,69,0,0,12,1771,1600,147,11,0,13,8410,1286,1261,25,0,0,0,7124,6872,159,88,5,0,35237,41551,26941,NA,NA,NA,20833,23214,41620,17443,35237,20244,41029,55192,56250,26786,25125,NA,35237,33571,35179,44918,23933,41643,51438,35106,35237,41643,21096,40489,40446,41250,41875,51150,28895,NA,NA,NA,20833,71000,51783,20167,41875,38114,51853,63409,26012,41161,NA,41875,23356,31500,63133,74575,41875,37228,43929,41875,56012,52798,57976,21600,17254,23750,16766,23664,18333,25990,17630,21356,11756,NA,10031,NA,4931,13581,21565,11119,4572,986,585,401,3586,345,3241,4394,3566,828,3525,2790,735,462,413,49,26,26,0,88,74,14,119,98,21,174,165,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2448,2439,371,282,78,532,397,406,373,9,2439,202,199,91,108,3,2237,2237,1445,169,623,0,4572,3033,2215,818,249,569,1539,1377,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9208,2850,880,839,41,0,0,0,1970,1929,37,4,0,0,3138,1521,1422,90,9,0,0,1617,1554,33,19,0,11,2126,1187,1155,26,1,5,0,939,916,17,0,3,3,1094,726,677,7,38,0,4,368,363,4,1,0,0,3444,1746,181,60,121,8,1557,1698,522241600,274857200,247384400,3444,1746,1248,196,98,84,98,22,1698,1197,362,14,46,35,44,501,541,452,3444,1746,616,1130,1698,475,1223,11313,3232,2524,830,2288,708,3547,2891,1983,1415,656,2050,1797,1625,437,253,1138,1067,953,218,71,1346,1330,1248,329,16,12759,12501,7891,4409,4,36,15,146,258,64,194,233,57,87,17,4,68,22,3
"Lynchburg City Public Schools, Virginia",64150,15611,7733,504,262,991,759,951,3701,565,7878,48539,12099,669,569,2137,2110,2474,3112,1028,36440,62434,14726,2861,2652,7,40,162,0,11865,10713,341,418,388,5,47708,7208,6730,244,94,119,21,40500,38289,813,471,676,251,38138,44684,24609,30556,44100,NA,17118,26458,44822,35092,38138,24138,44905,50741,56487,58091,34701,62155,38138,17623,40763,42720,38264,56742,64442,42047,38138,56742,23228,43182,29281,33375,50676,59842,30318,NA,43650,NA,44150,40104,60224,44100,50676,47505,52817,62088,58185,34292,70366,50676,27632,35067,64141,97776,50676,42694,54282,50676,65263,65014,65426,23523,35725,35625,35862,21705,14543,31506,21440,25521,14120,10805,16714,NA,23472,6834,25766,17338,28556,4763,3020,1743,23793,3359,20434,29671,17527,12144,23898,14891,9007,3178,1478,1700,1018,212,806,649,206,443,247,160,87,681,580,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15008,14858,2807,1774,807,2584,2115,2363,2408,150,14842,1039,990,460,530,49,13803,13650,8601,718,4331,153,28556,16060,11000,5060,1074,3986,12496,10200,2296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43361,6084,2178,1930,169,62,17,0,3906,3824,13,23,46,0,11311,6384,6072,154,23,122,13,4927,4763,52,79,16,17,12429,8355,7942,147,116,115,35,4074,3978,73,0,23,0,13537,9561,8718,222,168,311,142,3976,3569,55,123,229,0,15061,9985,2355,775,1580,42,7588,5076,2624999000,1802332900,822666100,15061,9985,1904,3257,1811,1581,1219,213,5076,1102,1631,732,968,359,284,1417,1445,1360,15061,9985,3648,6337,5076,1551,3525,66895,19422,15321,7509,10106,4101,17943,15086,10663,7108,2857,11246,10048,8879,2559,1198,7274,6658,6220,1391,616,11010,10678,10262,1889,332,76467,74146,49567,21609,145,2078,16,731,2321,343,1978,2108,1102,266,182,131,427,213,0
"Manassas City Public Schools, Virginia",37148,4057,1467,18,161,283,492,245,150,118,2590,33091,9750,502,317,2212,2030,2109,2221,359,23341,35873,3879,1231,453,778,0,0,0,2648,1072,1496,14,66,0,31994,6441,3970,2161,133,85,92,25553,17281,5852,1122,1004,294,71036,74291,60705,NA,86979,NA,60096,70060,82771,53294,71036,39469,76173,95139,73884,70865,68000,102386,71036,51989,66623,87350,52969,92024,99680,45743,71036,92024,45011,127558,128779,128721,75810,77257,66432,NA,96477,NA,55030,86375,97221,52815,75810,71820,84417,81732,70192,68438,77264,75810,37321,44430,88349,118854,75810,68112,91063,75810,94303,89345,103718,43420,39698,37567,75000,44623,36992,62199,28752,30365,25953,NA,31549,NA,17877,15537,39754,14487,12072,823,355,468,11249,755,10494,19915,13027,6888,15570,10574,4996,2428,1199,1229,754,649,105,305,90,215,209,107,102,649,408,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11020,11020,2059,1275,520,1597,2009,1801,1759,0,11020,601,601,195,406,0,10419,10405,7656,935,1814,14,12072,9054,6473,2581,811,1770,3018,2383,635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24305,4234,2832,704,1880,80,157,11,1402,404,906,50,42,0,6254,4544,2723,1608,30,119,64,1710,1428,209,38,28,7,6833,5555,4385,629,197,244,100,1278,1025,162,58,6,27,6984,5726,4168,722,413,338,85,1258,1093,65,66,34,0,7865,6453,1517,358,1159,52,4884,1412,2093656300,1729679900,363976400,7865,6453,206,708,797,1515,3130,97,1412,199,130,96,173,757,57,3018,2968,3255,7865,6453,2462,3991,1412,491,921,39122,3867,2299,1072,1500,1568,6125,4075,2882,1589,2050,8499,6569,5820,1258,1930,5739,4546,4133,944,1193,14892,13116,12324,1631,1776,39317,37572,29103,5568,28,1726,0,1147,1745,340,1405,1609,594,168,348,0,499,136,0
"Madison County Public Schools, Virginia",12636,1613,407,21,30,249,13,83,0,11,1206,11023,2574,104,78,661,461,801,337,132,8449,12352,1544,357,357,0,0,0,0,1187,1187,0,0,0,0,10808,1824,1788,0,13,23,0,8984,8759,6,108,111,0,53459,54592,41250,NA,NA,NA,NA,67813,54556,NA,53459,26573,62013,52472,101061,57708,54426,99643,53459,NA,51216,61019,39971,58700,73547,46875,53459,58700,31678,28304,17171,NA,60441,64118,52500,NA,NA,NA,NA,NA,64167,NA,60441,60932,51648,105647,54886,110882,99643,60441,42214,41078,74063,101786,60441,59083,61617,60441,66887,82649,64625,31406,28393,22672,59643,31758,31953,27240,27296,29139,18774,NA,12138,NA,28950,8227,29160,13022,5024,465,313,152,4559,256,4303,6182,4992,1190,4991,4002,989,801,728,73,16,16,0,70,13,57,53,21,32,251,212,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2912,2907,442,284,109,595,534,416,527,5,2907,425,425,192,233,0,2482,2482,1943,95,444,0,5024,3528,2862,666,190,476,1496,1173,323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9413,1906,763,763,0,0,0,0,1143,1143,0,0,0,0,3101,2273,2238,6,9,20,0,828,828,0,0,0,0,2355,1647,1575,0,53,19,0,708,708,0,0,0,0,2051,1470,1405,0,9,56,0,581,581,0,0,0,0,4032,2428,385,71,314,0,2043,1604,1310673000,909099400,401573600,4032,2428,499,833,600,312,184,0,1604,441,545,274,205,121,18,1321,1367,1273,4032,2428,685,1743,1604,408,1196,13042,1871,1346,657,1117,525,3038,2118,1602,975,920,2979,2682,2292,949,297,1663,1546,1406,322,117,3491,3413,3344,438,78,13249,12868,11265,1401,0,78,20,104,381,56,325,381,195,78,52,0,56,0,0
"Manassas Park City Public Schools, Virginia",14302,987,306,0,16,89,73,81,47,0,681,13315,3902,133,299,789,957,749,798,177,9413,13762,939,250,204,36,10,0,0,689,531,56,82,20,0,12823,2655,1314,1103,25,155,58,10168,5590,3144,701,587,146,71227,72054,58750,NA,86250,NA,100357,89306,82083,59394,71227,40461,80625,69398,88684,92917,66375,112813,71227,52443,76569,83105,27369,74514,82204,41736,71227,74514,64483,58873,91302,NA,74552,75839,70385,NA,77981,NA,40833,89306,91774,58788,74552,70284,59456,89507,91667,59614,78750,74552,29444,53664,82636,99076,74552,66750,78036,74552,88990,88416,91169,52523,51538,40833,69500,52752,36480,53929,26944,27821,34942,35931,23304,NA,12511,14823,35355,15841,4435,396,105,291,4039,141,3898,7971,5255,2716,5650,3817,1833,1387,839,548,397,291,106,100,56,44,204,75,129,233,177,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4268,4268,800,540,187,755,631,786,569,0,4268,427,413,84,329,14,3841,3818,3025,97,696,23,4435,3331,2504,827,160,667,1104,957,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9347,1599,1182,217,803,82,74,6,417,244,74,13,86,0,2400,1887,1072,674,45,64,32,513,399,91,13,10,0,2921,2364,1562,419,268,85,30,557,290,172,15,80,0,2427,1902,1359,259,115,162,7,525,405,20,14,46,40,2825,2432,384,112,272,18,2030,393,631227100,568849800,62377400,2825,2432,115,176,144,539,1438,20,393,8,51,40,154,64,76,3243,3419,2386,2825,2432,460,1972,393,128,265,15034,876,634,270,505,242,2437,1476,906,796,961,3682,2325,1973,578,1357,2676,2236,2103,154,440,5363,4514,4215,471,849,15125,13958,10275,2025,54,1075,0,529,1167,333,834,1113,193,9,455,0,456,54,0
"Martinsville City Public Schools, Virginia",12814,3426,1040,107,62,194,271,172,228,6,2386,9388,2078,86,315,390,361,377,432,117,7310,12445,3272,736,736,0,0,0,0,2536,2490,8,31,0,7,9173,1387,1210,149,0,0,28,7786,7345,316,60,14,51,28116,37644,20894,NA,NA,NA,41250,24844,38125,41667,28116,18118,40391,26615,65066,69844,58102,28750,28116,8250,33910,34611,24699,42273,49650,31696,28116,42273,16715,41184,42679,40066,40875,58199,22652,NA,NA,NA,41250,NA,58835,42083,40875,40604,24898,66382,66750,58565,19886,40875,18133,33000,60719,80556,40875,35565,44260,40875,59779,60313,57750,19265,37188,34583,40881,18260,13973,22875,19900,27414,12502,NA,88346,NA,9626,14193,28080,11819,5995,1696,1179,517,4299,504,3795,4839,3050,1789,3773,2571,1202,792,324,468,0,0,0,167,66,101,38,32,6,69,57,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3049,3041,540,369,340,548,358,445,441,8,3028,143,143,24,119,0,2885,2885,1286,177,1422,0,5995,3408,1930,1478,252,1226,2587,2354,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9693,2165,565,452,94,0,0,19,1600,1598,2,0,0,0,2797,1331,1258,73,0,0,0,1466,1401,51,14,0,0,3110,1875,1831,18,8,0,18,1235,1217,18,0,0,0,1621,1104,990,54,32,14,14,517,500,0,10,0,7,3220,1930,471,146,325,8,1451,1290,353652500,211364300,142288200,3220,1930,1152,458,104,86,85,45,1290,700,304,165,56,42,23,705,706,700,3220,1930,734,1196,1290,520,770,13313,5115,4118,1628,3529,997,3113,2685,1874,1362,428,2095,1520,1208,519,575,1622,1500,1144,528,122,1368,1275,1195,262,93,13808,13552,6854,6160,129,24,0,385,256,0,256,256,140,29,48,38,1,0,0
"Mathews County Public Schools, Virginia",8660,752,250,19,17,148,26,40,0,0,502,7908,1516,25,132,160,374,473,291,61,6392,8641,733,231,231,0,0,0,0,502,457,0,0,0,45,7908,1164,1099,39,9,17,0,6744,6659,54,31,0,0,55192,60806,41094,NA,NA,NA,NA,NA,60806,NA,55192,28000,66393,60568,81481,27482,NA,NA,55192,NA,49583,82523,45388,65634,83135,55442,55192,65634,26375,18750,NA,NA,71441,73673,41781,NA,NA,NA,NA,NA,73673,NA,71441,66305,61591,74541,113750,NA,NA,71441,42917,46911,93810,92115,71441,61364,76786,71441,83691,85375,83267,24425,45278,23429,95625,22552,21055,24479,31342,33360,18137,NA,NA,NA,7185,13467,33682,5640,3856,343,172,171,3513,159,3354,3876,3150,726,3170,2619,551,294,204,90,21,13,8,0,0,0,95,18,77,296,296,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1611,1611,197,19,152,170,333,259,481,0,1611,88,88,57,31,0,1523,1523,986,218,319,0,3856,2880,2198,682,268,414,976,888,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6900,773,367,367,0,0,0,0,406,406,0,0,0,0,2380,1203,1128,17,13,0,45,1177,1177,0,0,0,0,1873,1207,1187,20,0,0,0,666,666,0,0,0,0,1874,1022,997,12,13,0,0,852,842,5,5,0,0,3078,1529,288,75,213,0,1241,1549,954137000,519009700,435127300,3078,1529,487,483,193,197,152,17,1549,583,312,124,337,175,18,1152,1146,1163,3078,1529,685,844,1549,336,1213,8793,1379,1228,587,957,151,2287,1975,1515,1166,312,1220,1167,1124,463,53,1490,1348,1306,235,142,2417,2382,2328,460,35,8943,8811,7872,841,56,22,0,20,132,12,120,132,44,11,30,22,25,0,0
"Mecklenburg County Public Schools, Virginia",29690,5613,1660,71,151,592,282,281,275,8,3953,24077,4665,152,199,891,1067,1220,923,213,19412,29222,5474,1275,1228,30,17,0,0,4199,4008,128,55,8,0,23748,3365,3326,14,20,5,0,20383,19950,236,106,34,57,36261,42902,25373,NA,38125,NA,35909,5357,42902,36136,36261,18716,47400,54364,54408,50203,44821,42250,36261,20804,43125,44543,26241,43765,55285,29572,36261,43765,22488,38523,47775,25833,49468,56899,35438,NA,38125,NA,74375,8068,56894,55536,49468,47655,53716,61250,48542,44145,60139,49468,29375,41386,64954,81016,49468,45243,51215,49468,59630,61220,57468,27465,36250,36689,27417,25903,21282,28664,20056,24121,14451,NA,12288,NA,10403,2994,24221,11997,12650,1584,843,741,11066,1412,9654,11842,8787,3055,9362,7200,2162,1497,873,624,57,57,0,145,107,38,367,195,172,414,355,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6267,6265,1025,514,280,1197,1021,1075,1153,2,6244,472,358,96,262,114,5772,5766,3527,306,1933,6,12650,7934,5786,2148,495,1653,4716,4294,422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23567,5451,1711,1628,83,0,0,0,3740,3654,78,8,0,0,8320,4400,4309,65,10,0,16,3920,3875,4,41,0,0,6561,3868,3806,50,5,7,0,2693,2602,33,46,0,12,3235,2164,2067,11,31,14,41,1071,1033,20,5,13,0,9282,4517,781,156,625,63,3673,4765,1521383700,788303900,733079800,9282,4517,2930,923,280,238,73,73,4765,3240,879,248,254,86,58,593,657,499,9282,4517,1845,2672,4765,1363,3402,30583,8438,6712,2815,5469,1726,8868,7501,5238,3904,1367,6195,5559,4785,1839,636,3571,3186,3043,617,385,3511,3315,3112,770,196,32274,31868,19388,11876,31,64,7,502,406,20,386,395,283,20,45,20,27,11,0
"Middlesex County Public Schools, Virginia",10321,956,219,19,7,82,38,73,0,0,737,9365,1654,78,124,355,358,363,346,30,7711,10159,946,209,205,0,0,4,0,737,708,27,0,0,2,9213,1158,1146,10,2,0,0,8055,7889,75,37,0,54,53309,61332,28319,NA,NA,NA,NA,NA,61230,140139,53309,26383,65898,49231,84750,79773,73750,NA,53309,33594,51102,74033,41352,61062,76681,44929,53309,61062,26190,56094,70313,45000,64313,71556,43169,NA,NA,NA,NA,NA,71122,141806,64313,64803,50843,93750,79773,73750,NA,64313,47411,51964,71778,103073,64313,54125,66627,64313,72992,72045,74375,31827,38281,23906,45353,27841,18563,41813,30531,34316,15802,33363,NA,NA,11507,6631,34603,19659,4400,304,209,95,4096,209,3887,4418,3596,822,3482,2877,605,340,220,120,25,4,21,178,140,38,59,59,0,334,296,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1758,1751,222,162,89,332,310,306,330,7,1751,24,24,15,9,0,1727,1727,1259,116,352,0,4400,2986,2439,547,181,366,1414,1292,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8404,927,303,303,0,0,0,0,624,618,6,0,0,0,2516,1201,1199,0,0,0,2,1315,1311,4,0,0,0,2661,1609,1586,4,19,0,0,1052,1047,0,5,0,0,2300,1315,1256,44,0,0,15,985,914,19,13,0,39,3606,1951,474,139,335,0,1477,1655,1211020200,675286800,535733400,3606,1951,579,690,180,243,254,5,1655,604,327,257,197,199,71,1150,1153,1142,3606,1951,582,1369,1655,304,1351,10493,1612,1310,670,1040,302,2532,2133,1796,1167,399,2251,2126,1932,833,125,1337,1294,1213,297,43,2761,2654,2561,786,107,10851,10809,8627,2117,35,0,0,30,42,2,40,42,23,5,12,0,2,0,0
"Montgomery County Public Schools, Virginia",82417,20276,14906,114,196,460,426,523,11404,1783,5370,62141,16805,738,572,2767,2883,2579,3805,3461,45336,80756,19932,1697,1597,39,49,0,12,18235,15432,557,929,929,388,60824,8947,7758,325,414,377,73,51877,47189,728,2006,1573,381,45543,48006,21929,48780,30388,NA,16172,35673,48233,23068,45543,23545,49785,52764,67816,72969,55167,85000,45543,13433,54296,64888,42516,71591,84022,48770,45543,71591,22738,51406,14158,13561,66800,69179,46500,NA,62875,NA,14361,80917,69418,48125,66800,57251,66563,93320,57190,47614,85000,66800,36537,47240,85110,101250,66800,66416,67057,66800,76778,82742,74862,28981,48470,29707,52612,24571,21230,32979,23548,24336,15078,5455,20889,NA,7580,20470,24582,13249,34789,2649,1521,1128,32140,6271,25869,42395,24579,17816,32716,20198,12518,3874,2154,1720,1641,224,1417,1169,255,914,903,342,561,2092,1406,686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15107,14949,2554,1671,841,2557,2387,2470,2469,158,14941,679,657,282,375,22,14262,14262,11036,630,2596,0,34789,19187,15483,3704,1034,2670,15602,9514,6088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50531,5254,1816,1597,134,23,62,0,3438,3335,53,0,18,32,11566,7475,7126,183,34,81,51,4091,3822,16,206,47,0,12288,8808,8311,159,196,105,37,3480,3283,0,86,56,55,21423,16418,13855,257,1141,975,190,5005,3924,51,363,422,245,19012,11811,2460,425,2035,46,9305,7201,4305219800,2878015600,1427204300,19012,11811,1777,3567,1987,2568,1791,121,7201,1794,2072,801,1235,783,516,1497,1626,1313,19012,11811,4434,7377,7201,2066,5135,84823,23178,19877,16215,5648,3301,18369,15632,12781,5233,2737,14203,13081,12066,2848,1122,10763,10090,9755,1254,673,18310,17910,17378,2048,400,94910,93312,83024,3887,208,5461,17,715,1598,12,1586,1420,419,239,680,0,82,165,13
